State_Abbr,State_Name,Landcover_Counts
DC,District of Columbia,"{60=39.745098039215684, 50=10335.537254901967, 10=8595.184313725493, 30=1544.9999999999995, 90=36.90588235294118, 80=2223.113725490197, 40=4.0}"
AL,Alabama,"{30=2531349.015686274, 60=25517.8431372549, 90=19269.043137254903, 50=190383.98431372546, 80=532551.3960784314, 40=626768.105882353, 10=1.2267096741176464E7}"
TN,Tennessee,"{30=2747956.4588235295, 60=18497.403921568628, 90=829.0, 50=224342.5450980392, 80=283091.20784313726, 40=1365078.219607843, 10=8854459.82745097}"
KY,Kentucky,"{30=2876886.407843137, 60=15134.30980392157, 90=272.0, 50=171842.93725490195, 80=228764.27450980386, 40=1876235.8156862746, 10=8050732.313725482}"
MS,Mississippi,"{30=1837443.2588235294, 60=19991.745098039217, 90=32111.784313725486, 50=118493.76078431371, 80=508654.1999999999, 40=1776632.4980392156, 10=1.0663404003921561E7}"
LA,Louisiana,"{30=1930988.1372549022, 60=24563.73725490196, 90=1292543.9529411765, 50=182865.63137254902, 80=2921745.0509803914, 40=1631835.105882353, 95=578.0, 10=7878726.611764706}"
TX,Texas,"{30=3.557024541960784E7, 60=2687231.4313725485, 90=487555.0549019608, 50=1420897.3607843136, 80=1953753.0274509813, 40=9576309.568627449, 95=117.92156862745098, 20=1.0506412184313728E7, 10=1.9651887627450984E7}"
OK,Oklahoma,"{30=1.1325025470588226E7, 60=78251.59999999999, 90=519.0, 50=285389.5333333334, 80=394128.2705882351, 40=3766269.015686275, 20=2213.4823529411765, 10=6460069.788235294}"
AR,Arkansas,"{30=2910972.7254901966, 60=21138.29411764706, 90=6805.741176470588, 50=149538.33725490194, 80=343412.25098039204, 40=3087524.96862745, 10=1.0315619556862745E7}"
ID,Idaho,"{100=699396.5882352941, 30=1.3701599933333317E7, 70=272.41568627450977, 60=938960.4862745098, 90=4523.7764705882355, 50=134774.30980392158, 80=288965.81568627455, 40=2441655.415686274, 20=978434.6274509805, 10=1.1118109211764712E7}"
NM,New Mexico,"{100=4144.498039215687, 30=2.1937530568627458E7, 60=4003616.972549017, 90=51.0, 50=188734.80784313727, 80=43926.34901960784, 40=512551.0039215682, 20=4616427.298039214, 10=6976362.0784313725}"
UT,Utah,"{100=75003.0, 30=8134872.596078435, 60=8166664.101960788, 90=55875.0, 50=195999.85882352942, 80=649302.4352941175, 40=444962.61960784317, 20=4863924.05490196, 10=5883985.105882354}"
CO,Colorado,"{100=419034.62352941174, 30=1.7413825984313715E7, 70=411.0, 60=1182361.1411764708, 90=321.0, 50=346567.6156862745, 80=135319.80784313727, 40=3946131.0431372533, 20=1386260.0980392166, 10=9916690.29411764}"
WY,Wyoming,"{100=465884.4352941176, 30=2.2785219380392138E7, 70=7288.0, 60=2968614.7176470594, 90=777.2235294117647, 50=71784.16862745098, 80=239906.0588235294, 40=593595.8274509802, 20=2669657.407843137, 10=4858839.23529411}"
NV,Nevada,"{100=47.0, 30=1.3212302054901961E7, 70=3014.0, 60=9960245.792156864, 90=6565.0, 50=189217.6980392157, 80=195974.58431372547, 40=242565.65490196078, 20=9904031.74901961, 10=3387721.7568627447}"
MT,Montana,"{100=635255.4549019608, 30=3.3382959349019576E7, 70=8576.043137254903, 60=1045284.0745098038, 90=483.20000000000005, 50=111610.70588235294, 80=585397.1019607842, 40=7345552.392156862, 20=559.5254901960784, 10=1.274613283921568E7}"
AZ,Arizona,"{100=7.0, 30=8057436.17254902, 60=9014262.341176473, 90=221.42352941176466, 50=470886.6823529412, 80=82936.56470588234, 40=414071.59999999986, 20=1.2478115611764707E7, 10=5317734.803921569}"
CA,California,"{100=14467.0, 30=1.3935551345098037E7, 70=1229.0, 60=1.0636971282352941E7, 90=76610.55294117647, 50=1712727.2000000002, 80=2466448.14509804, 40=2793743.6549019604, 20=3688355.098039215, 10=1.8062975196078427E7}"
OR,Oregon,"{100=4155.0, 30=1.5190139301960785E7, 70=4439.0, 60=497151.58823529404, 90=9927.0, 50=190746.11764705883, 80=805099.7607843139, 40=1645216.1647058825, 20=1135770.6588235297, 10=1.5919454917647047E7}"
WA,Washington,"{100=151238.8431372549, 30=7480004.211764706, 70=76425.29411764706, 60=368280.305882353, 90=5923.745098039216, 50=314750.3921568627, 80=1863801.5411764702, 40=3442039.815686273, 20=1726.0, 10=1.3573010192156866E7}"
HI,Hawaii,"{30=693789.0, 60=307079.0, 90=1641.0, 50=37432.0, 80=998837.0784313729, 40=480.0, 95=659.0, 20=68117.0, 10=668855.0}"
AK,Alaska,"{100=3.2791616572549023E7, 30=1.451673369333333E8, 70=1.914401684705883E7, 60=8975506.05098039, 90=2.1244818556862745E7, 50=55347.450980392154, 80=5.5864085886274524E7, 40=858.0, 20=5113526.117647058, 10=9.92845040352941E7}"
