State_Abbr,State_Name,Forest_Pct,Crop_Pct,Urban_Pct,Wetland_Pct
VI,United States Virgin Islands,12.75268318925038,0.008966380118218306,2.2640109798501222,0.07471983431848588
MP,Commonwealth of the Northern Mariana Islands,6.803190180354976,0.00954046055401399,0.33868634966749667,0.001122407124001646
GU,Guam,24.959775317460625,0.020933920693996435,2.6926255492652915,0.006541850216873886
AS,American Samoa,12.327363207300145,0.0,0.41428140585799084,0.0526749553840057
PR,Puerto Rico,47.235571282522365,0.4748711874361085,5.780864814508207,0.42541114742905856
RI,Rhode Island,53.68505801456747,0.5363305029255176,5.869732391903513,0.631009500078198
NH,New Hampshire,88.03876987914906,0.8411594673939725,1.324606915606175,0.36725802440254424
VT,Vermont,81.73331131541005,4.5996975010034875,0.7055027194987448,0.20229928288779322
CT,Connecticut,73.86421670040853,1.4279833991192108,3.8658691400768337,0.5534275457427936
ME,Maine,79.75474285950222,1.3472317076652907,0.3415148866640839,0.42220254075784724
MA,Massachusetts,61.82207470369371,0.9202861544248356,4.228706797658419,1.0439633917910907
NJ,New Jersey,56.921055745328175,4.809907892377715,7.838911440479306,3.5130302041158483
PA,Pennsylvania,70.59010130378974,8.409525255831477,2.4745520834831876,0.05263297264079646
NY,New York,64.68067707247164,7.615201864190109,2.1250093582624388,0.38170046149813
IL,Illinois,22.006245885197,61.2607633888143,3.0768601286135637,0.03287010450189399
WI,Wisconsin,47.91711280393077,21.191256044457045,1.6359071416747009,0.42866405032214805
OH,Ohio,39.014794169203306,32.595027858219844,3.0593648817116845,0.05894843869789859
MI,Michigan,38.00770811463883,10.47766275084259,1.3461696491032893,0.26772292520568997
IN,Indiana,32.14153743259271,51.29351498644355,2.7676617202723097,0.04234984603089432
MN,Minnesota,37.637033217946076,36.76784985784868,1.2346873459763947,0.6092984062108112
NE,Nebraska,4.256552020536459,38.87079272421928,0.6668546772788921,0.042953364458801956
ND,North Dakota,2.5060145707951333,51.510198532115545,0.439751445715007,0.13991538468105827
MO,Missouri,45.73348519549187,25.00852668993476,1.3671101927551335,0.005376917320021879
KS,Kansas,8.535498782940557,45.88188330996741,0.9809781616091279,0.0017126133144250086
SD,South Dakota,3.8321562582764535,32.383369723676495,0.40924576491482273,0.13000411685251337
IA,Iowa,12.26828197489797,69.45121233974332,2.182843396295186,0.04898838180254438
WV,West Virginia,87.09078053953425,0.715416913238524,0.7521187849829603,0.0024107752055369447
FL,Florida,47.90417296270556,2.957840294401979,4.221452141512644,7.952493813682373
MD,Maryland,47.342512220996205,12.648606037509595,3.5731212894816253,2.488577140864885
NC,North Carolina,64.50233474480679,10.028973595243768,1.878510269962786,0.9369763633488034
DE,Delaware,35.189683026743865,22.773340336637656,4.025170628935261,4.6171953353570006
GA,Georgia,72.25145745220301,7.605969458240297,1.935568967473244,0.9995546606321271
SC,South Carolina,70.52358886125346,5.655464740714502,1.7953009749918825,2.1117443848967974
VA,Virginia,68.59509136699222,4.86295372073279,1.6134912946959765,0.6543590345580876
DC,District of Columbia,37.73212534359689,0.017559658509401898,45.37212617681991,0.1620136727764522
AL,Alabama,75.75585207734709,3.870626678653624,1.175722443367913,0.11899659816638142
TN,Tennessee,65.61651642677491,10.115995686494255,1.6625041597695918,0.006143355233162314
KY,Kentucky,60.89873422263143,14.192545699682627,1.2998839057263238,0.0020575091883648206
MS,Mississippi,71.29501643764974,11.87848112148676,0.7922436981445841,0.21469787599226015
LA,Louisiana,49.66466832067035,10.286503553335047,1.1527193894259782,8.147733748859363
TX,Texas,24.008343257774214,11.699198144465319,1.7358837083987562,0.5956368842043657
OK,Oklahoma,28.953516221738624,16.880116564637387,1.2790930676831445,0.002326116498996407
AR,Arkansas,61.27479822263632,18.3399037175752,0.8882579850229904,0.04042611449995639
ID,Idaho,36.685326788043895,8.056489203529846,0.44470147788781805,0.014926658389358638
NM,New Mexico,18.222969167430396,1.338835489928924,0.49299456442772766,0.0001332172007545684
UT,Utah,20.66688944471572,1.5628852046673174,0.6884292432073268,0.19625516158581854
CO,Colorado,28.539765682383717,11.35677852014016,0.9974052079306924,0.0009238228191395098
WY,Wyoming,14.017944750465713,1.7125476086699836,0.20710018608319147,0.0022423208438170504
NV,Nevada,9.130910712991067,0.653786082774136,0.5099975824796709,0.01769461400109166
MT,Montana,22.817256874824984,13.149506437251418,0.19979786639779698,0.0008649916536248704
AZ,Arizona,14.839221584133055,1.155473232618753,1.314016602576639,0.0006178857987538033
CA,California,33.83271581415749,5.232799918499833,3.2080104188682115,0.14349480292632058
OR,Oregon,44.9675446882422,4.647227671483925,0.5387988856260784,0.02804070983770585
WA,Washington,49.759542850398915,12.6187430258021,1.1538955179418808,0.021716836859892064
HI,Hawaii,24.08648603198177,0.017285530190177617,1.347983262664018,0.059094906337669735
AK,Alaska,25.612447121721573,0.00022133846408322862,0.014277995094314435,5.480530896390295
